Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	 Order          	 Class    
BGI_CrCroc_1.0	GCF_008692635.1	GCA_008692635.1	Crocuta crocuta	9678	 Carnivora      	 Mammalia 
mCynVol1.pri	GCF_027409185.1	GCA_027409185.1	Cynocephalus volans	110931	 Dermoptera     	 Mammalia 
ASM3311817v1	GCF_033118175.1	GCA_033118175.1	Dama dama	30532	 Artiodactyla    	 Mammalia 
mDasNov1.1.hap2	GCF_030445035.2	GCA_030445035.2	Dasypus novemcinctus	9361	 Cingulata       	 Mammalia 
DMad_hybrid	GCA_044048945.1		Daubentonia madagascariensis	31869	 Primates        	 Mammalia 
ASM228892v3	GCF_002288925.2	GCA_002288925.3	Delphinapterus leucas	9749	 Cetacea         	 Mammalia 
mDelDel1.2	GCF_949987515.2	GCA_949987515.2	Delphinus delphis	9728	 Cetacea         	 Mammalia 
HLdesRot8A.1	GCF_022682495.2	GCA_022682495.2	Desmodus rotundus	9430	 Chiroptera      	 Mammalia 
mDicBic1.mat.cur	GCF_020826845.1	GCA_020826845.1	Diceros bicornis minor	77932	 Perissodactyla  	 Mammalia 
mDipMer1.0.p	GCF_024711535.1	GCA_024711535.1	Dipodomys merriami	94247	 Rodentia        	 Mammalia 
Dord_2.0	GCF_000151885.1	GCA_000151885.2	Dipodomys ordii	10020	 Rodentia        	 Mammalia 
ASM1905484v1	GCF_019054845.1	GCA_019054845.1	Dipodomys spectabilis	105255	 Rodentia        	 Mammalia 
mDroGli1.pri	GCF_019393635.1	GCA_019393635.1	Dromiciops gliroides	33562	 Microbiotheria  	 Mammalia 
ASM31398v2	GCF_000313985.2	GCA_000313985.2	Echinops telfairi	9371	 Afrosoricida    	 Mammalia 
EleEdw1.0	GCF_000299155.1	GCA_000299155.1	Elephantulus edwardii	28737	 Macroscelidea   	 Mammalia 
mEleMax1 primary haplotype	GCF_024166365.1	GCA_024166365.1	Elephas maximus indicus	99487	 Proboscidea     	 Mammalia 
ASM228890v2	GCF_002288905.1	GCA_002288905.2	Enhydra lutris kenyoni	391180	 Carnivora       	 Mammalia 
DD_ASM_mEF_20220401	GCF_027574615.1	GCA_027574615.1	Eptesicus fuscus	29078	 Chiroptera      	 Mammalia 
EquAss-T2T_v2	GCF_041296235.1	GCA_041296235.2	Equus asinus	9793	 Perissodactyla  	 Mammalia 
TB-T2T	GCF_041296265.1	GCA_041296265.1	Equus caballus	9796	 Perissodactyla  	 Mammalia 
EquPr2	GCF_037783145.1	GCA_037783145.1	Equus przewalskii	9798	 Perissodactyla  	 Mammalia 
UCLA_HA_Equagga_1.0	GCF_021613505.1	GCA_021613505.1	Equus quagga	89248	 Perissodactyla  	 Mammalia 
mEriEur2.1	GCF_950295315.1	GCA_950295315.1	Erinaceus europaeus	9365	 Eulipotyphla    	 Mammalia 
mEscRob2.pri	GCF_028021215.1	GCA_028021215.1	Eschrichtius robustus	9764	 Cetacea         	 Mammalia 
mEubGla1.1.hap2.+ XY	GCF_028564815.1	GCA_028564815.2	Eubalaena glacialis	27606	 Cetacea         	 Mammalia 
OSU_ERuf_1	GCF_041146395.1	GCA_041146395.1	Eulemur rufifrons	859984	 Primates        	 Mammalia 
ASM402803v1	GCF_004028035.1	GCA_004028035.1	Eumetopias jubatus	34886	 Carnivora       	 Mammalia 
F.catus_Fca126_mat1.0	GCF_018350175.1	GCA_018350175.1	Felis catus	9685	 Carnivora       	 Mammalia 
DMR_v1.0_HiC	GCF_012274545.1	GCA_012274545.1	Fukomys damarensis	885580	 Rodentia        	 Mammalia 
Gpyr_1.0	GCA_019455555.1		Galemys pyrenaicus	202257	 Eulipotyphla    	 Mammalia 
G_variegatus-3.0.2	GCF_000696425.1	GCA_000696425.1	Galeopterus variegatus	482537	 Dermoptera      	 Mammalia 
mGloMel1.2	GCF_963455315.2	GCA_963455315.2	Globicephala melas	9731	 Cetacea         	 Mammalia 
